time,intruder_id,tau_horiz,tau_vert,tau_min,cpa_dist_ft,range_ft,rel_alt_ft
0,2,inf,inf,inf,287.4709335111862,287.4709335111862,-30
1,2,inf,inf,inf,287.470717913499,287.470717913499,-30
2,2,inf,inf,inf,287.4705023155469,287.4705023155469,-30
3,2,inf,inf,inf,287.4702867173299,287.4702867173299,-30
4,2,inf,inf,inf,287.470071118848,287.470071118848,-30
5,2,inf,inf,inf,287.4698594400808,287.4698594400808,-30
6,2,inf,inf,inf,287.4696438410739,287.4696438410739,-30
7,2,inf,inf,inf,287.4694282418022,287.4694282418022,-30
8,2,inf,inf,inf,287.4692126422655,287.4692126422655,-30
9,2,inf,inf,inf,287.46899704246397,287.46899704246397,-30
10,2,inf,inf,inf,287.4687814423975,287.4687814423975,-30
11,2,inf,inf,inf,287.46856584206614,287.46856584206614,-30
12,2,inf,inf,inf,287.4683502414699,287.4683502414699,-30
13,2,inf,inf,inf,287.4681346406088,287.4681346406088,-30
14,2,inf,inf,inf,287.4679190394828,287.4679190394828,-30
15,2,inf,inf,inf,287.4677073581195,287.4677073581195,-30
16,2,inf,inf,inf,287.4674917564686,287.4674917564686,-30
17,2,inf,inf,inf,287.4672761545527,287.4672761545527,-30
18,2,inf,inf,inf,287.46706055237195,287.46706055237195,-30
19,2,inf,inf,inf,287.4668449499262,287.4668449499262,-30
20,2,inf,inf,inf,287.4666293472157,287.4666293472157,-30
21,2,inf,inf,inf,287.46641374424024,287.46641374424024,-30
22,2,inf,inf,inf,287.4661981409999,287.4661981409999,-30
23,2,inf,inf,inf,287.46598253749465,287.46598253749465,-30
24,2,inf,inf,inf,287.4657669337246,287.4657669337246,-30
25,2,inf,inf,inf,287.46555524976526,287.46555524976526,-30
26,2,inf,inf,inf,287.4653396454702,287.4653396454702,-30
27,2,inf,inf,inf,287.4651240409102,287.4651240409102,-30
28,2,inf,inf,inf,287.46490843608535,287.46490843608535,-30
29,2,inf,inf,inf,287.4646928309956,287.4646928309956,-30
30,2,inf,inf,inf,287.46447722564096,287.46447722564096,-30
31,2,inf,inf,inf,287.4642616200215,287.4642616200215,-30
32,2,inf,inf,inf,287.46404601413707,287.46404601413707,-30
33,2,inf,inf,inf,287.4638304079877,287.4638304079877,-30
34,2,inf,inf,inf,287.46361480157356,287.46361480157356,-30
35,2,inf,inf,inf,287.4634031150182,287.4634031150182,-30
36,2,inf,inf,inf,287.4631875080791,287.4631875080791,-30
37,2,inf,inf,inf,287.462971900875,287.462971900875,-30
38,2,inf,inf,inf,287.46275629340613,287.46275629340613,-30
39,2,inf,inf,inf,287.4625406856723,287.4625406856723,-30
40,2,inf,inf,inf,287.4623250776736,287.4623250776736,-30
41,2,inf,inf,inf,287.46210946941,287.46210946941,-30
42,2,inf,inf,inf,287.4618938608815,287.4618938608815,-30
43,2,inf,inf,inf,287.4616782520882,287.4616782520882,-30
44,2,inf,inf,inf,287.4614626430299,287.4614626430299,-30
45,2,inf,inf,inf,287.4612509538786,287.4612509538786,-30
46,2,inf,inf,inf,287.46103534429545,287.46103534429545,-30
47,2,inf,inf,inf,287.4608197344473,287.4608197344473,-30
48,2,inf,inf,inf,287.46060412433434,287.46060412433434,-30
49,2,inf,inf,inf,287.46038851395645,287.46038851395645,-30
50,2,inf,inf,inf,287.4601729033137,287.4601729033137,-30
51,2,inf,inf,inf,287.4599572924061,287.4599572924061,-30
52,2,inf,inf,inf,287.45974168123354,287.45974168123354,-30
53,2,inf,inf,inf,287.45952606979614,287.45952606979614,-30
54,2,inf,inf,inf,287.459314378309,287.459314378309,-30
55,2,inf,inf,inf,287.45909876634664,287.45909876634664,-30
56,2,inf,inf,inf,287.45888315411935,287.45888315411935,-30
57,2,inf,inf,inf,287.4586675416272,287.4586675416272,-30
58,2,inf,inf,inf,287.45845192887026,287.45845192887026,-30
59,2,inf,inf,inf,287.45823631584835,287.45823631584835,-30
60,2,inf,inf,inf,287.45802070256156,287.45802070256156,-30
61,2,inf,inf,inf,287.45780508900987,287.45780508900987,-30
62,2,inf,inf,inf,287.45758947519334,287.45758947519334,-30
63,2,inf,inf,inf,287.4573738611119,287.4573738611119,-30
64,2,inf,inf,inf,287.4571621670288,287.4571621670288,-30
65,2,inf,inf,inf,287.45694655242244,287.45694655242244,-30
66,2,inf,inf,inf,287.4567309375512,287.4567309375512,-30
67,2,inf,inf,inf,287.456515322415,287.456515322415,-30
68,2,inf,inf,inf,287.45629970701395,287.45629970701395,-30
69,2,inf,inf,inf,287.4560840913481,287.4560840913481,-30
70,2,inf,inf,inf,287.4558684754173,287.4558684754173,-30
71,2,inf,inf,inf,287.45565285922163,287.45565285922163,-30
72,2,inf,inf,inf,287.45543724276104,287.45543724276104,-30
73,2,inf,inf,inf,287.4552216260356,287.4552216260356,-30
74,2,inf,inf,inf,287.4550099293566,287.4550099293566,-30
75,2,inf,inf,inf,287.4547943121062,287.4547943121062,-30
76,2,inf,inf,inf,287.45457869459096,287.45457869459096,-30
77,2,inf,inf,inf,287.4543630768108,287.4543630768108,-30
78,2,inf,inf,inf,287.45414745876576,287.45414745876576,-30
79,2,inf,inf,inf,287.4539318404559,287.4539318404559,-30
80,2,inf,inf,inf,287.45371622188105,287.45371622188105,-30
81,2,inf,inf,inf,287.45350060304145,287.45350060304145,-30
82,2,inf,inf,inf,287.4532849839369,287.4532849839369,-30
83,2,inf,inf,inf,287.45306936456745,287.45306936456745,-30
84,2,inf,inf,inf,287.4528576652925,287.4528576652925,-30
85,2,inf,inf,inf,287.4526420453982,287.4526420453982,-30
86,2,inf,inf,inf,287.45242642523897,287.45242642523897,-30
87,2,inf,inf,inf,287.45221080481485,287.45221080481485,-30
88,2,inf,inf,inf,287.45199518412585,287.45199518412585,-30
89,2,inf,inf,inf,287.451779563172,287.451779563172,-30
90,2,inf,inf,inf,287.4515639419532,287.4515639419532,-30
91,2,inf,inf,inf,287.4513483204696,287.4513483204696,-30
92,2,inf,inf,inf,287.45113269872115,287.45113269872115,-30
93,2,inf,inf,inf,287.45091707670775,287.45091707670775,-30
94,2,inf,inf,inf,287.4507053748369,287.4507053748369,-30
95,2,inf,inf,inf,287.4504897522986,287.4504897522986,-30
96,2,inf,inf,inf,287.4502741294954,287.4502741294954,-30
97,2,inf,inf,inf,287.45005850642735,287.45005850642735,-30
98,2,inf,inf,inf,287.4498428830944,287.4498428830944,-30
99,2,inf,inf,inf,287.4496272594966,287.4496272594966,-30
100,2,inf,inf,inf,287.4494116356339,287.4494116356339,-30
101,2,inf,inf,inf,287.4491960115063,287.4491960115063,-30
102,2,inf,inf,inf,287.44898038711386,287.44898038711386,-30
103,2,inf,inf,inf,287.44876476245656,287.44876476245656,-30
104,2,inf,inf,inf,287.44855305798984,287.44855305798984,-30
105,2,inf,inf,inf,287.4483374328076,287.4483374328076,-30
106,2,inf,inf,inf,287.44812180736045,287.44812180736045,-30
107,2,inf,inf,inf,287.4479061816485,287.4479061816485,-30
108,2,inf,inf,inf,287.44769055567156,287.44769055567156,-30
109,2,inf,inf,inf,287.44747492942986,287.44747492942986,-30
110,2,inf,inf,inf,287.4472593029232,287.4472593029232,-30
111,2,inf,inf,inf,287.44704367615174,287.44704367615174,-30
112,2,inf,inf,inf,287.44682804911537,287.44682804911537,-30
113,2,inf,inf,inf,287.4466163423129,287.4466163423129,-30
114,2,inf,inf,inf,287.4464007147515,287.4464007147515,-30
115,2,inf,inf,inf,287.4461850869254,287.4461850869254,-30
116,2,inf,inf,inf,287.4459694588343,287.4459694588343,-30
117,2,inf,inf,inf,287.4457538304784,287.4457538304784,-30
118,2,inf,inf,inf,287.44553820185763,287.44553820185763,-30
119,2,inf,inf,inf,287.445322572972,287.445322572972,-30
120,2,inf,inf,inf,287.44510694382143,287.44510694382143,-30
121,2,inf,inf,inf,287.44489131440605,287.44489131440605,-30
122,2,inf,inf,inf,287.4446756847258,287.4446756847258,-30
123,2,inf,inf,inf,287.44446397532744,287.44446397532744,-30
124,2,inf,inf,inf,287.4442483451222,287.4442483451222,-30
125,2,inf,inf,inf,287.44403271465217,287.44403271465217,-30
126,2,inf,inf,inf,287.4438170839172,287.4438170839172,-30
127,2,inf,inf,inf,287.44360145291745,287.44360145291745,-30
128,2,inf,inf,inf,287.4433858216527,287.4433858216527,-30
129,2,inf,inf,inf,287.4431701901232,287.4431701901232,-30
130,2,inf,inf,inf,287.4429545583288,287.4429545583288,-30
131,2,inf,inf,inf,287.44273892626944,287.44273892626944,-30
132,2,inf,inf,inf,287.4425232939453,287.4425232939453,-30
133,2,inf,inf,inf,287.4423115819512,287.4423115819512,-30
134,2,inf,inf,inf,287.44209594910205,287.44209594910205,-30
135,2,inf,inf,inf,287.4418803159881,287.4418803159881,-30
136,2,inf,inf,inf,287.4416646826093,287.4416646826093,-30
137,2,inf,inf,inf,287.44144904896564,287.44144904896564,-30
138,2,inf,inf,inf,287.44123341505707,287.44123341505707,-30
139,2,inf,inf,inf,287.44101778088367,287.44101778088367,-30
140,2,inf,inf,inf,287.4408021464454,287.4408021464454,-30
141,2,inf,inf,inf,287.4405865117422,287.4405865117422,-30
142,2,inf,inf,inf,287.4403708767742,287.4403708767742,-30
143,2,inf,inf,inf,287.4401591621843,287.4401591621843,-30
144,2,inf,inf,inf,287.4399435266913,287.4399435266913,-30
145,2,inf,inf,inf,287.4397278909335,287.4397278909335,-30
146,2,inf,inf,inf,287.4395122549108,287.4395122549108,-30
147,2,inf,inf,inf,287.4392966186233,287.4392966186233,-30
148,2,inf,inf,inf,287.4390809820709,287.4390809820709,-30
149,2,inf,inf,inf,287.43886534525353,287.43886534525353,-30
150,2,inf,inf,inf,287.43864970817145,287.43864970817145,-30
151,2,inf,inf,inf,287.4384340708244,287.4384340708244,-30
152,2,inf,inf,inf,287.43821843321257,287.43821843321257,-30
153,2,inf,inf,inf,287.4380067160269,287.4380067160269,-30
154,2,inf,inf,inf,287.4377910778901,287.4377910778901,-30
155,2,inf,inf,inf,287.43757543948846,287.43757543948846,-30
156,2,inf,inf,inf,287.4373598008219,287.4373598008219,-30
157,2,inf,inf,inf,287.4371441618905,287.4371441618905,-30
158,2,inf,inf,inf,287.4369285226943,287.4369285226943,-30
159,2,inf,inf,inf,287.4367128832332,287.4367128832332,-30
160,2,inf,inf,inf,287.43649724350723,287.43649724350723,-30
161,2,inf,inf,inf,287.43628160351636,287.43628160351636,-30
162,2,inf,inf,inf,287.436069883995,287.436069883995,-30
163,2,inf,inf,inf,287.4358542434793,287.4358542434793,-30
164,2,inf,inf,inf,287.43563860269865,287.43563860269865,-30
165,2,inf,inf,inf,287.43542296165316,287.43542296165316,-30
166,2,inf,inf,inf,287.43520732034284,287.43520732034284,-30
167,2,inf,inf,inf,287.4349916787677,287.4349916787677,-30
168,2,inf,inf,inf,287.4347760369276,287.4347760369276,-30
169,2,inf,inf,inf,287.43456039482265,287.43456039482265,-30
170,2,inf,inf,inf,287.43434475245294,287.43434475245294,-30
171,2,inf,inf,inf,287.43412910981823,287.43412910981823,-30
172,2,inf,inf,inf,287.4339173877011,287.4339173877011,-30
173,2,inf,inf,inf,287.43370174454157,287.43370174454157,-30
174,2,inf,inf,inf,287.4334861011171,287.4334861011171,-30
175,2,inf,inf,inf,287.43327045742785,287.43327045742785,-30
176,2,inf,inf,inf,287.43305481347375,287.43305481347375,-30
177,2,inf,inf,inf,287.4328391692548,287.4328391692548,-30
178,2,inf,inf,inf,287.4326235247709,287.4326235247709,-30
179,2,inf,inf,inf,287.43240788002214,287.43240788002214,-30
180,2,inf,inf,inf,287.43219223500864,287.43219223500864,-30
181,2,inf,inf,inf,287.4319765897302,287.4319765897302,-30
182,2,inf,inf,inf,287.4317648650173,287.4317648650173,-30
183,2,inf,inf,inf,287.431549219214,287.431549219214,-30
184,2,inf,inf,inf,287.4313335731458,287.4313335731458,-30
185,2,inf,inf,inf,287.43111792681276,287.43111792681276,-30
186,2,inf,inf,inf,287.43090228021487,287.43090228021487,-30
187,2,inf,inf,inf,287.4306866333521,287.4306866333521,-30
188,2,inf,inf,inf,287.43047098622446,287.43047098622446,-30
189,2,inf,inf,inf,287.43025533883196,287.43025533883196,-30
190,2,inf,inf,inf,287.43003969117467,287.43003969117467,-30
191,2,inf,inf,inf,287.42982404325244,287.42982404325244,-30
192,2,inf,inf,inf,287.42961231594387,287.42961231594387,-30
193,2,inf,inf,inf,287.4293966674968,287.4293966674968,-30
194,2,inf,inf,inf,287.4291810187849,287.4291810187849,-30
195,2,inf,inf,inf,287.428965369808,287.428965369808,-30
196,2,inf,inf,inf,287.4287497205664,287.4287497205664,-30
197,2,inf,inf,inf,287.42853407105986,287.42853407105986,-30
198,2,inf,inf,inf,287.42831842128845,287.42831842128845,-30
199,2,inf,inf,inf,287.4281027712522,287.4281027712522,-30
200,2,inf,inf,inf,287.42788712095114,287.42788712095114,-30
201,2,inf,inf,inf,287.4276714703852,287.4276714703852,-30
202,2,inf,inf,inf,287.42745974048097,287.42745974048097,-30
203,2,inf,inf,inf,287.4272440893901,287.4272440893901,-30
204,2,inf,inf,inf,287.4270284380344,287.4270284380344,-30
205,2,inf,inf,inf,287.42681278641385,287.42681278641385,-30
206,2,inf,inf,inf,287.42659713452844,287.42659713452844,-30
207,2,inf,inf,inf,287.4263814823782,287.4263814823782,-30
208,2,inf,inf,inf,287.4261658299631,287.4261658299631,-30
209,2,inf,inf,inf,287.4259501772831,287.4259501772831,-30
210,2,inf,inf,inf,287.4257345243383,287.4257345243383,-30
211,2,inf,inf,inf,287.42552279209843,287.42552279209843,-30
212,2,inf,inf,inf,287.42530713862874,287.42530713862874,-30
213,2,inf,inf,inf,287.42509148489415,287.42509148489415,-30
214,2,inf,inf,inf,287.42487583089473,287.42487583089473,-30
215,2,inf,inf,inf,287.4246601766305,287.4246601766305,-30
216,2,inf,inf,inf,287.4244445221014,287.4244445221014,-30
217,2,inf,inf,inf,287.42422886730736,287.42422886730736,-30
218,2,inf,inf,inf,287.42401321224855,287.42401321224855,-30
219,2,inf,inf,inf,287.42379755692485,287.42379755692485,-30
220,2,inf,inf,inf,287.4235819013363,287.4235819013363,-30
221,2,inf,inf,inf,287.42337016650083,287.42337016650083,-30
222,2,inf,inf,inf,287.42315451038746,287.42315451038746,-30
223,2,inf,inf,inf,287.42293885400915,287.42293885400915,-30
224,2,inf,inf,inf,287.42272319736605,287.42272319736605,-30
225,2,inf,inf,inf,287.42250754045807,287.42250754045807,-30
226,2,inf,inf,inf,287.42229188328525,287.42229188328525,-30
227,2,inf,inf,inf,287.4220762258476,287.4220762258476,-30
228,2,inf,inf,inf,287.421860568145,287.421860568145,-30
229,2,inf,inf,inf,287.42164491017763,287.42164491017763,-30
230,2,inf,inf,inf,287.4214292519454,287.4214292519454,-30
231,2,inf,inf,inf,287.4212175145143,287.4212175145143,-30
232,2,inf,inf,inf,287.4210018557572,287.4210018557572,-30
233,2,inf,inf,inf,287.42078619673526,287.42078619673526,-30
234,2,inf,inf,inf,287.42057053744844,287.42057053744844,-30
235,2,inf,inf,inf,287.4203548778968,287.4203548778968,-30
236,2,inf,inf,inf,287.4201392180803,287.4201392180803,-30
