time,intruder_id,tau_horiz,tau_vert,tau_min,cpa_dist_ft,range_ft,rel_alt_ft
0,2,inf,inf,inf,21824.05077300063,21824.05077300063,0
0,3,3614.1698322129123,10.0,10.0,13079.525303902046,20023.938790431428,50
0,4,3211.0601085251997,20.0,20.0,19984.328431447117,22937.003282139533,100
0,5,inf,30.0,30.0,10011.969395216038,10011.969395216038,150
0,6,inf,40.0,40.0,20023.93879043133,20023.93879043133,200
0,7,inf,inf,inf,30035.908185647466,30035.908185647466,0
0,8,553.1106412938061,10.0,10.0,6187.093286326864,21824.05077300063,50
0,9,428.9997028391296,20.0,20.0,1668.6843987232887,20023.938790431428,100
0,10,484.9714893870592,30.0,30.0,9550.886584281418,22937.003282139533,150
0,11,inf,40.0,40.0,10011.969395216038,10011.969395216038,200
0,12,inf,inf,inf,20023.93879043133,20023.93879043133,0
0,13,inf,10.0,10.0,30035.908185647466,30035.908185647466,50
0,14,538.1124631688608,20.0,20.0,17307.024501502525,21824.05077300063,100
0,15,341.96711486936755,30.0,30.0,10378.656018829235,20023.938790431428,150
0,16,336.09570732203207,40.0,40.0,4530.582759825228,22937.003282139533,200
0,17,inf,inf,inf,10011.969395216038,10011.969395216038,0
0,18,inf,10.0,10.0,20023.93879043133,20023.93879043133,50
0,19,inf,20.0,20.0,30035.908185647466,30035.908185647466,100
0,20,12269.683438771432,30.0,30.0,21816.26026196878,21824.05077300063,150
0,21,808.6856972777574,40.0,40.0,18461.98368318417,20023.938790431428,200
0,22,558.9110139883319,inf,558.9110139883319,16881.933282163172,22937.003282139533,0
0,23,inf,10.0,10.0,10011.969395216038,10011.969395216038,50
0,24,inf,20.0,20.0,20023.93879043133,20023.93879043133,100
0,25,30152.53069789505,30.0,30.0,30029.114861860504,30035.908185647466,150
0,26,inf,40.0,40.0,21824.05077300063,21824.05077300063,200
0,28,7002.106650361437,10.0,10.0,22784.69368248513,22937.003282139533,50
0,29,1086.2130416024772,20.0,20.0,9057.532063352295,10011.969395216038,100
0,30,2654.558037127005,30.0,30.0,17124.514107305084,20023.93879043133,150
0,31,6786.178365991462,40.0,40.0,23917.7654872482,30035.908185647466,200
0,32,inf,inf,inf,21824.05077300063,21824.05077300063,0
0,33,404.73879528865336,10.0,10.0,622.267679421743,20023.938790431428,50
0,34,343.3687985864522,20.0,20.0,6856.107322779084,22937.003282139533,100
0,35,inf,30.0,30.0,10011.969395216038,10011.969395216038,150
0,36,inf,40.0,40.0,20023.93879043133,20023.93879043133,200
