time,intruder_id,tau_horiz,tau_vert,tau_min,cpa_dist_ft,range_ft,rel_alt_ft
0,100,82.08252883883766,20.0,20.0,0.0,6566.505316749287,15
1,100,81.07929793084357,17.666666666666668,17.666666666666668,0.0,6486.248029547464,13.25
2,100,80.07606702279143,16.666666666666668,16.666666666666668,0.0,6405.9907423409995,12.5
3,100,79.08195639575747,14.333333333333334,14.333333333333334,0.0,6326.463066839282,10.75
4,100,78.07872548770534,12.0,12.0,0.0,6246.205779632817,9
5,100,77.07549457971125,9.666666666666666,9.666666666666666,0.0,6165.9484924309945,7.25
6,100,76.07226367165912,8.666666666666666,8.666666666666666,0.0,6085.69120522453,6.5
7,100,75.07815304459615,6.333333333333333,6.333333333333333,0.0,6006.163529720491,4.75
8,100,74.07492213657302,4.0,4.0,9.094947017729282e-13,5925.906242516347,3
9,100,73.0716912285209,1.6666666666666667,1.6666666666666667,0.0,5845.648955309884,1.25
10,100,72.0684603205268,inf,72.0684603205268,0.0,5765.39166810806,0.5
11,100,71.07434969343483,inf,71.07434969343483,0.0,5685.863992601701,-1.25
12,100,70.0711187854407,inf,70.0711187854407,9.094947017729282e-13,5605.606705399878,-3
13,100,69.06788787738859,inf,69.06788787738859,9.094947017729282e-13,5525.349418193414,-4.75
14,100,68.06465696939448,inf,68.06465696939448,0.0,5445.09213099159,-5.5
15,100,67.06142606134236,inf,67.06142606134236,0.0,5364.834843785126,-7.25
16,100,66.06731543430838,inf,66.06731543430838,9.094947017729282e-13,5285.307168283408,-9
17,100,65.06408452625627,inf,65.06408452625627,9.094947017729282e-13,5205.049881076944,-10.75
18,100,64.06085361826216,inf,64.06085361826216,0.0,5124.7925938751205,-11.5
19,100,63.05762271021004,inf,63.05762271021004,0.0,5044.535306668657,-13.25
20,100,62.06351208317607,inf,62.06351208317607,9.094947017729282e-13,4965.007631166938,-15
21,100,61.06028117512394,inf,61.06028117512394,0.0,4884.750343960473,-16.75
22,100,60.05705026712984,inf,60.05705026712984,9.094947017729282e-13,4804.493056758651,-17.5
23,100,59.05381935907772,inf,59.05381935907772,0.0,4724.235769552187,-19.25
24,100,58.05058845102559,inf,58.05058845102559,0.0,4643.978482345722,-21
25,100,57.05647782399162,inf,57.05647782399162,0.0,4564.450806844004,-22.75
26,100,56.0532469159395,inf,56.0532469159395,0.0,4484.19351963754,-23.5
27,100,55.050016007945395,inf,55.050016007945395,0.0,4403.936232435716,-25.25
28,100,54.04678509989328,inf,54.04678509989328,0.0,4323.678945229252,-27
29,100,53.0526744728593,inf,53.0526744728593,0.0,4244.151269727534,-28.75
30,100,52.049443564807184,inf,52.049443564807184,0.0,4163.89398252107,-29.5
31,100,51.046212656813076,inf,51.046212656813076,0.0,4083.636695319247,-31.25
32,100,50.04298174876096,inf,50.04298174876096,4.547473508864641e-13,4003.3794081127826,-33
33,100,49.04887112172698,inf,49.04887112172698,0.0,3923.851732611064,-34.75
34,100,48.045640213674865,inf,48.045640213674865,4.547473508864641e-13,3843.5944454046,-35.5
35,100,47.042409305680756,inf,47.042409305680756,4.547473508864641e-13,3763.3371582027767,-37.25
36,100,46.03917839762864,inf,46.03917839762864,4.547473508864641e-13,3683.079870996313,-39
37,100,45.03594748963453,inf,45.03594748963453,0.0,3602.8225837944897,-40.75
38,100,44.04183686254253,inf,44.04183686254253,4.547473508864641e-13,3523.29490828813,-41.5
39,100,43.03860595449042,inf,43.03860595449042,0.0,3443.0376210816657,-43.25
40,100,42.03537504649631,inf,42.03537504649631,0.0,3362.7803338798426,-45
41,100,41.03214413844419,inf,41.03214413844419,0.0,3282.5230466733783,-46.75
42,100,40.03803351141023,inf,40.03803351141023,0.0,3202.9953711716603,-47.5
43,100,39.0348026033581,inf,39.0348026033581,0.0,3122.738083965196,-49.25
44,100,38.03157169536399,inf,38.03157169536399,0.0,3042.480796763373,-51
45,100,37.02834078731187,inf,37.02834078731187,0.0,2962.2235095569085,-52.75
46,100,36.03423016027791,inf,36.03423016027791,4.547473508864641e-13,2882.6958340551905,-53.5
47,100,35.03099925222578,inf,35.03099925222578,0.0,2802.438546848726,-55.25
48,100,34.027768344231674,inf,34.027768344231674,0.0,2722.181259646903,-57
49,100,33.02453743617955,inf,33.02453743617955,0.0,2641.923972440439,-58.75
50,100,32.02130652818544,inf,32.02130652818544,0.0,2561.6666852386156,-59.5
51,100,31.027195901093464,inf,31.027195901093464,0.0,2482.1390097322565,-61.25
52,100,30.023964993099355,inf,30.023964993099355,4.547473508864641e-13,2401.8817225304333,-63
53,100,29.02073408504723,inf,29.02073408504723,0.0,2321.624435323969,-64.75
54,100,28.017503176995106,inf,28.017503176995106,0.0,2241.3671481175047,-65.5
55,100,27.023392549961137,inf,27.023392549961137,0.0,2161.8394726157862,-67.25
56,100,26.02016164190902,inf,26.02016164190902,0.0,2081.5821854093224,-69
57,100,25.016930733914908,inf,25.016930733914908,2.2737367544323206e-13,2001.324898207499,-70.75
58,100,24.013699825862787,inf,24.013699825862787,2.2737367544323206e-13,1921.0676110010347,-71.5
59,100,23.015029058319744,inf,23.015029058319744,2.2737367544323206e-13,1841.1751296469436,-73.25
60,100,22.016358290776697,inf,22.016358290776697,2.2737367544323206e-13,1761.2826482928524,-75
61,100,21.013127382782592,inf,21.013127382782592,2.2737367544323206e-13,1681.0253610910293,-76.75
62,100,20.009896474730468,inf,20.009896474730468,0.0,1600.768073884565,-77.5
63,100,19.00666556670735,inf,19.00666556670735,0.0,1520.5107866804212,-79.25
64,100,18.012554939644378,inf,18.012554939644378,0.0,1440.9831111763824,-81
65,100,17.00932403165027,inf,17.00932403165027,0.0,1360.7258239745593,-82.75
