正在启动 Julia 探测模块 ...
共检测到 200 个文件需要探测。
初始化防撞模块 STM & TRM...
加载推演剧本: D:/workforce/project/suma/suma/suma/example\AutoGen_Encounter_0001.json
[Time   17] 距离:14000 | 相高:-200 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:45.0 => H:0 | V:0
[Time   18] 距离:14000 | 相高:-200 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:45.0 => H:0 | V:0
[Time   19] 距离:14000 | 相高:-200 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:45.0 => H:0 | V:0
[Time   20] 距离:14000 | 相高:-200 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:45.0 => H:0 | V:0
[Time   21] 距离:14000 | 相高:-200 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:45.0 => H:0 | V:0
[Time   22] 距离:14000 | 相高:-200 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:45.0 => H:0 | V:0
[Time   23] 距离:14000 | 相高:-300 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:45.0 => H:0 | V:0
[Time   24] 距离:14000 | 相高:-300 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:45.0 => H:0 | V:0
[Time   25] 距离:14000 | 相高:-300 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:45.0 => H:0 | V:0
[Time   26] 距离:14000 | 相高:-300 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:45.0 => H:0 | V:0
[Time   27] 距离:14000 | 相高:-300 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:40.0 => H:0 | V:0
[Time   28] 距离:14000 | 相高:-300 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:40.0 => H:0 | V:0
[Time   29] 距离:14000 | 相高:-300 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:40.0 => H:0 | V:0
[Time   30] 距离:14000 | 相高:-300 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:40.0 => H:0 | V:0
[Time   31] 距离:14000 | 相高:-300 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:40.0 => H:0 | V:0
[Time   32] 距离:14000 | 相高:-300 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:40.0 => H:0 | V:0
[Time   33] 距离:14000 | 相高:-400 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:40.0 => H:0 | V:0
[Time   34] 距离:14000 | 相高:-400 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:40.0 => H:0 | V:0
[Time   35] 距离:14000 | 相高:-400 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:40.0 => H:0 | V:0
[Time   36] 距离:14000 | 相高:-400 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:40.0 => H:0 | V:0
[Time   37] 距离:14000 | 相高:-400 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:40.0 => H:0 | V:0
[Time   38] 距离:14000 | 相高:-400 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:40.0 => H:0 | V:0
[Time   39] 距离:14000 | 相高:-400 | 方位:+150° | 航向差: -60° | 目标速:150 | 本机速:200 | 目标垂速:+20 | 本机垂:+10 | Tau:40.0 => H:0 | V:0
初始化防撞模块 STM & TRM...
加载推演剧本: D:/workforce/project/suma/suma/suma/example\AutoGen_Encounter_0004.json
[Time    2] 距离:8000 | 相高:  +0 | 方位: +90° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
